week,index_level,diff,is_rising,pli,date
1,3356.332,-38.238000000000284,0,0.0,1
2,3190.003,-11.538000000000011,0,0.2,2
3,3067.365,7.300999999999931,1,0.2,3
4,2836.789,-60.06700000000001,0,0.25,4
5,2868.023,-18.88799999999992,0,0.6,5
6,2768.791,42.76900000000023,1,0.4,6
7,2850.302,-9.67699999999968,0,0.6,7
8,2744.391,8.315000000000055,1,0.4,8
9,2758.866,8.842999999999847,1,0.6,9
10,2696.166,-46.56700000000001,0,0.0,10
11,2736.287,-21.21100000000024,0,0.4,11
12,2534.105,8.034000000000106,1,0.2,12
13,2647.104,71.18299999999999,1,0.6,13
14,2616.128,7.609000000000378,1,0.6,14
15,2793.076,11.789999999999964,1,1.0,15
16,2868.846,-9.13000000000011,0,0.6,16
17,2897.659,46.82999999999993,1,0.6,17
18,2855.547,39.16100000000006,1,0.6,18
19,2898.333,-57.0619999999999,0,0.6,19
20,2858.566,8.472999999999956,1,0.6,20
21,2920.205,-1.1880000000001019,0,0.4,21
22,2932.554,6.094000000000051,1,0.6,22
23,2861.369,3.5799999999999272,1,0.6,23
24,2857.476,7.648000000000138,1,0.5,24
25,2935.574,60.76200000000017,1,0.5,25
26,3044.233,108.6590000000001,1,1.0,26
27,3327.683,103.54300000000012,1,1.0,27
28,3378.655,3.9700000000002547,1,0.6,28
29,3379.983,-17.708999999999833,0,0.2,29
30,3520.798,40.292999999999665,1,0.6,30
31,3291.833,-218.14199999999983,0,0.4,31
32,3178.846,30.884000000000015,1,0.6,32
33,3194.853,-28.630999999999858,0,0.4,33
34,3158.156,3.0969999999997526,1,0.4,34
35,3161.977,38.610999999999876,1,0.6,35
36,3225.661,-5.003999999999905,0,0.4,36
37,3162.955,-25.652000000000044,0,0.2,37
38,3128.261,64.16300000000001,1,0.6,38
39,3166.624,6.980999999999767,1,0.5,39
40,3091.862,-49.422000000000025,0,0.4,40
41,2983.456,38.74299999999994,1,0.6,41
42,3036.735,10.269000000000233,1,0.6,42
43,3077.283,0.775000000000091,1,1.0,43
44,3120.956,16.79300000000012,1,0.6666666666666666,44
45,3211.876,-34.03099999999995,0,0.4,45
46,3197.617,6.682000000000244,1,0.8,46
47,3270.666,48.94800000000032,1,0.6,47
48,3247.376,-32.88299999999981,0,0.6,48
49,3215.685,18.585000000000036,1,0.6,49
50,3294.484,43.12300000000005,1,0.6,50
51,3272.729,49.4409999999998,1,0.2,51
52,3353.358,28.939000000000306,1,1.0,52
53,3358.944,5.3840000000000146,1,0.4,53
54,3299.942,-17.425000000000182,0,0.4,54
55,3192.723,30.947000000000116,1,0.2,55
56,3121.396,-4.721000000000004,0,0.25,56
57,3128.093,26.48999999999978,1,0.6,57
58,3121.596,0.95699999999988,1,0.6,58
59,2963.308,-15.072999999999865,0,0.2,59
60,2986.349,30.644000000000233,1,0.6,60
61,2961.932,10.042999999999665,1,0.75,61
62,2892.157,-25.42099999999982,0,0.2,62
63,3027.47,69.8409999999999,1,0.6,63
64,3049.745,5.655999999999949,1,0.8,64
65,3109.183,7.503000000000156,1,0.6,65
66,3128.889,13.144000000000233,1,0.8,66
67,3067.985,8.846000000000004,1,0.2,67
68,2972.079,-8.922999999999774,0,0.4,68
69,2897.417,-62.89200000000028,0,0.4,69
70,2875.365,8.440999999999804,1,0.8,70
71,2807.664,-26.58999999999969,0,0.2,71
72,2901.216,-2.6210000000000946,0,0.4,72
73,2803.854,-30.68100000000004,0,0.2,73
74,2751.095,-5.010000000000218,0,0.2,74
75,2733.987,4.936000000000149,1,0.5,75
76,2669.478,-16.210000000000036,0,0.4,76
77,2581.351,-6.833999999999833,0,0.2,77
78,2653.782,-8.81899999999996,0,0.4,78
79,2507.877,-12.6550000000002,0,0.2,79
80,2709.017,51.53899999999976,1,1.0,80
81,2763.746,19.445000000000164,1,0.8,81
82,2695.002,-4.58600000000024,0,0.2,82
83,2606.495,-55.521999999999935,0,0.2,83
84,2569.973,-18.942000000000007,0,0.4,84
85,2557.311,-26.30199999999968,0,0.6,85
86,2503.461,-21.54000000000042,0,0.2,86
87,2390.129,49.340999999999894,1,0.2,87
88,2359.159,17.82400000000007,1,0.4,88
89,2345.742,34.38100000000031,1,0.6,89
90,2290.601,14.215999999999894,1,0.3333333333333333,90
91,2394.334,-40.88500000000022,0,0.4,91
92,2504.086,35.735999999999876,1,0.6,92
93,2506.09,19.852000000000317,1,0.6,93
94,2533.624,4.392999999999574,1,0.6,94
95,2537.086,1.0119999999997162,1,0.4,95
96,2648.017,41.76099999999997,1,1.0,96
97,2679.934,46.5890000000004,1,0.6,97
98,2664.302,28.510999999999967,1,0.4,98
99,2623.52,37.97400000000016,1,0.4,99
100,2552.94,-30.80699999999979,0,0.4,100
101,2454.899,11.777000000000044,1,0.4,101
102,2519.83,6.998000000000047,1,1.0,102
103,2580.454,10.018000000000029,1,0.8,103
104,2626.839,30.7829999999999,1,0.4,104
105,2626.157,-5.329999999999927,0,0.4,105
106,2715.879,24.360999999999876,1,1.0,106
107,2636.917,-20.297000000000025,0,0.2,107
108,2573.976,-39.965999999999894,0,0.4,108
109,2573.103,-22.157000000000153,0,0.4,109
110,2632.998,0.956000000000131,1,0.6,110
111,2524.329,-17.855000000000018,0,0.0,111
112,2568.054,7.633000000000266,1,0.6,112
113,2512.185,-40.42599999999993,0,0.25,113
114,2461.612,35.883000000000266,1,0.2,114
115,2472.614,42.24400000000014,1,0.6,115
116,2450.633,1.4519999999997708,1,0.6,116
117,2398.455,-25.86700000000019,0,0.6,117
118,2349.108,1.6200000000003456,1,0.4,118
119,2353.737,18.855000000000018,1,0.4,119
120,2399.751,-11.948999999999614,0,0.8,120
121,2313.476,-6.19399999999996,0,0.2,121
122,2275.677,-26.521999999999935,0,0.4,122
123,2204.868,-6.501999999999953,0,0.2,123
124,2317.179,99.35600000000022,1,0.6,124
125,2315.542,17.08100000000013,1,0.6,125
126,2199.063,3.11200000000008,1,0.4,126
127,2293.106,41.389000000000124,1,0.6,127
128,2304.531,1.9980000000000473,1,0.6,128
129,2332.47,-3.6070000000004256,0,0.6,129
130,2247.907,-43.33199999999988,0,0.2,130
131,2306.774,8.889999999999873,1,0.8,131
132,2240.924,-4.481000000000222,0,0.0,132
133,2177.24,-16.383000000000266,0,0.4,133
134,2192.676,15.13000000000011,1,0.4,134
135,2139.661,23.985000000000127,1,0.2,135
136,2246.757,43.1550000000002,1,0.6,136
137,2355.865,113.22999999999956,1,0.6,137
138,2372.002,-12.81399999999985,0,0.8,138
139,2480.049,35.45499999999993,1,0.8,139
140,2524.409,1.45699999999988,1,1.0,140
141,2483.23,-47.33899999999994,0,0.6,141
142,2595.439,42.68100000000004,1,0.6,142
143,2571.674,-11.081000000000131,0,0.4,143
144,2743.324,56.44200000000001,1,0.8,144
145,2771.725,11.855000000000018,1,0.8,145
146,2596.604,-13.945000000000164,0,0.2,146
147,2668.836,-4.49100000000044,0,0.6,147
148,2606.927,-12.55199999999968,0,0.4,148
149,2539.873,5.599999999999909,1,0.4,149
150,2618.308,3.3200000000001637,1,0.8,150
151,2495.083,-4.219000000000051,0,0.2,151
152,2483.547,-2.844000000000051,0,0.0,152
