,week,future_return,volume,inventory,amount,BASIS,index_turnover_rate,short_balance_ratio,pli,t_spread,RSI,index_trading_volume,CCt+1
0,2,-0.056701102,13.4004859,10.34583089,13.4004859,31.716,0.658,9.94674e-06,0.2,2.0188,52.44235318,8.499682775,0.0
1,3,-0.028818771,13.47415622,10.79955517,13.47415622,34.6024,0.49,2.69912e-05,0.2,1.97462,18.35079143,8.218636201,0.0
2,4,-0.042738777,13.52736971,10.82013822,13.52736971,57.078,0.5,2.83177e-05,0.25,1.94245,17.03837027,7.993089807,0.0
3,5,-0.04836422,14.04926402,11.17938094,14.04926402,16.1712,0.468,5.55096e-05,0.6,1.8994,48.44184978,8.089973152,0.0
4,6,-0.030834541,14.22934719,11.29428426,14.22934719,27.07,0.448,8.59324e-05,0.4,1.78708,42.87809465,7.99287022,0.0
5,7,0.031421247,14.2930166,11.48022664,14.2930166,21.9526,0.492,8.58586e-05,0.6,1.75942,59.21534191,8.119764703,0.0
6,8,-0.034235325,14.42549132,11.63570046,14.42549132,16.796,0.36,0.000136009,0.4,1.73186,20.31090931,7.796847461,0.0
7,9,-0.006131743,14.13101741,11.65598631,14.13101741,13.7454,0.386,9.21566e-05,0.6,1.709771429,44.0126594,7.861854188,0.0
8,10,-0.003846047,13.03832503,10.77348301,13.03832503,20.9505,0.33,0.000104184,0.0,1.66765,0.0,6.808476234,0.0
9,11,0.01380012,14.10556556,11.72729463,14.10556556,15.1474,0.334,0.000159301,0.4,1.54944,73.46613412,7.687254453,0.0
10,12,-0.065454549,14.169575,11.9131502,14.169575,16.0316,0.33,0.000147226,0.2,1.47604,13.2600515,7.567805756,0.0
11,13,-0.010009815,14.35122877,11.93847421,14.35122877,0.709,0.346,0.000173712,0.6,1.41464,78.08441558,7.619616259,0.0
12,14,0.021684229,14.42075506,11.87675575,14.42075506,-4.8134,0.386,0.000174856,0.6,1.41404,29.9976051,7.761962075,0.0
13,15,0.0439133,14.42764886,11.91091604,14.42764886,2.0656,0.552,0.000135645,1.0,1.39864,100.0,8.156277841,0.0
14,16,0.032498998,14.23065203,11.97699905,14.23065203,-1.385,0.582,0.000134395,0.6,1.39542,73.20272417,8.182648696,0.0
15,17,0.014877797,14.3550968,12.00248046,14.3550968,3.0464,0.62,0.000103215,0.6,1.40828,47.81950874,8.272041733,0.0
16,18,-0.010608367,14.3664978,11.92189111,14.3664978,-0.3646,0.55,0.000103474,0.6,1.40002,30.14762651,8.17541249,0.0
17,19,0.032334935,14.24853441,12.01612206,14.24853441,16.9472,0.636,9.01408e-05,0.6,1.40158,52.98095958,8.373308964,0.0
18,20,-0.022350748,14.22378837,11.99731265,14.22378837,10.9398,0.442,0.000125046,0.6,1.42652,22.65917127,7.967002844,0.0
19,21,0.012314255,14.12493675,12.00452545,14.12493675,9.8324,0.59,7.8143e-05,0.4,1.38852,81.39642519,8.347348672,0.0
20,22,0.018951737,13.95993379,12.03686078,13.95993379,14.8042,0.65,7.98617e-05,0.6,1.42122,44.8122674,8.467174873,0.0
21,23,-0.017732717,14.02896411,11.93827816,14.02896411,10.224,0.56,7.28959e-05,0.6,1.456883333,18.30442181,8.313484553,0.0
22,24,-0.017244782,12.85890031,10.95795636,12.85890031,18.548,0.36,0.00013018,0.5,1.4578,39.8561676,6.930739115,0.0
23,25,0.013332493,13.35234907,11.56942866,13.35234907,11.6695,0.4725,9.39857e-05,0.5,1.4614,78.18771114,8.002018123,0.0
24,26,0.048106913,11.9968998,10.25678179,11.9968998,9.967,0.83,7.10771e-05,1.0,1.45565,100.0,7.20776357,0.0
25,27,0.055407014,14.01963274,11.9184839,14.01963274,13.1958,1.322,7.65221e-05,1.0,1.49084,100.0,9.268203537,0.0
26,28,0.059211801,14.33872018,12.12078705,14.33872018,58.7094,1.234,8.86071e-05,0.6,1.62144,59.08295349,9.217596979,0.0
27,29,0.026528711,14.14948683,12.20752659,14.14948683,91.4576,0.996,7.08142e-05,0.2,1.72546,80.20798666,9.079960579,0.0
28,30,0.002532898,14.11238178,12.23464067,14.11238178,54.566,1.078,6.54272e-05,0.6,1.8434,71.01082767,9.170397158,0.0
29,31,-0.003636657,13.94565246,12.2220887,13.94565246,38.6322,0.962,5.67972e-05,0.4,1.9122,17.80030411,9.163349388,0.0
30,32,-0.083806913,14.18808877,12.05915491,14.18808877,47.851,0.636,5.1845e-05,0.6,1.86202,23.64405563,8.743373726,0.0
31,33,-0.012833948,14.05357898,11.86407517,14.05357898,14.7806,0.544,7.59039e-05,0.4,1.76058,63.4954488,8.594979818,0.0
32,34,-0.005961907,13.79350623,11.8484544,13.79350623,15.4652,0.428,0.00011565,0.4,1.41406,36.07419562,8.389348456,0.0
33,35,0.00064318,13.82136439,11.94357737,13.82136439,8.1332,0.414,0.000101629,0.6,1.32376,41.16818299,8.328149089,0.0
34,36,0.03211897,13.67267083,12.01840482,13.67267083,29.419,0.488,7.80715e-05,0.4,1.09612,78.63390203,8.510710222,0.0
35,37,-0.012951607,13.91704045,11.93342367,13.91704045,35.1238,0.47,8.13544e-05,0.2,0.88026,67.96909101,8.467397722,0.0
36,38,-0.04009873,13.88604264,12.02532385,13.88604264,27.2742,0.396,8.85092e-05,0.6,0.8584,32.00494688,8.283150459,0.0
37,39,0.023430794,13.55817533,11.70247087,13.55817533,7.79725,0.5325,7.40517e-05,0.5,1.0459,69.48527544,8.414766147,0.0
38,40,-0.01542952,13.84566239,12.05094983,13.84566239,10.2816,0.394,0.000154002,0.4,1.30192,31.98823507,8.222322677,0.0
39,41,-0.047174612,13.99924362,12.10141188,13.99924362,2.6764,0.414,0.000119132,0.6,1.24744,25.07212217,8.228112808,0.0
40,42,0.003688364,13.97210995,12.06851602,13.97210995,11.8164,0.418,0.000184325,0.6,1.1269,59.34089204,8.189638673,0.0
41,43,0.027587866,12.52705409,11.10806517,12.52705409,5.7045,0.4,0.00018512,1.0,1.12215,100.0,7.30588018,0.0
42,44,0.001339961,13.23321758,11.52843457,13.23321758,-1.956,0.463333333,0.000177417,0.666666667,1.1456,52.40347143,7.87897728,0.0
43,45,0.050716683,13.83467475,12.1234842,13.83467475,18.6952,0.664,0.000124788,0.4,1.1489,83.5455085,8.796987739,0.0
44,46,-0.011770964,13.89504237,12.08230486,13.89504237,12.364,0.528,0.000171785,0.8,1.0807,17.50602876,8.586868497,0.0
45,47,0.013653821,13.85156472,12.11646517,13.85156472,7.4132,0.582,0.00032939,0.6,1.12972,68.09820081,8.6750564,0.0
46,48,0.019721624,13.75539743,12.26665962,13.75539743,10.548,0.582,0.000444779,0.6,1.42134,33.19718618,8.745930668,0.0
