quarter,index_level,diff,is_rising,pli
1,2563.07,-28.948999999999614,0,0.36
2,2935.574,60.76200000000017,1,0.6031746031746031
3,3128.261,64.16300000000001,1,0.5081967213114754
4,3223.288,-32.791999999999916,0,0.5517241379310345
5,3044.089,43.92000000000007,1,0.4918032786885246
6,2581.351,-6.833999999999833,0,0.4153846153846154
7,2345.742,34.38100000000031,1,0.43333333333333335
8,2454.899,11.777000000000044,1,0.5172413793103449
9,2461.612,35.883000000000266,1,0.4406779661016949
10,2293.106,41.389000000000124,1,0.49230769230769234
11,2522.952,42.90300000000025,1,0.5081967213114754
12,2495.083,-4.219000000000051,0,0.5357142857142857
13,2200.639,39.903999999999996,1,0.42105263157894735
14,2409.037,14.065999999999804,1,0.515625
15,2330.026,30.567999999999756,1,0.4426229508196721
16,2146.305,-5.660000000000309,0,0.43103448275862066
17,2165.118,14.860000000000127,1,0.45901639344262296
18,2450.988,3.188999999999851,1,0.6
19,3533.705,76.15099999999984,1,0.6229508196721312
20,4051.204,-36.973999999999705,0,0.6140350877192983
21,4472.998,281.4489999999996,1,0.5806451612903226
22,3202.948,24.09400000000005,1,0.484375
23,3731.0047,-34.170500000000175,0,0.5901639344262295
24,3218.0879,1.8126000000002023,1,0.576271186440678
25,3153.921,2.531199999999899,1,0.4918032786885246
26,3253.2848,8.897399999999834,1,0.515625
27,3310.0808,12.316000000000258,1,0.5
28,3456.0455,19.287500000000364,1,0.576271186440678
29,3666.7977,-2.03020000000015,0,0.5333333333333333
30,3836.5013,13.96270000000004,1,0.5538461538461539
31,4030.8549,11.957499999999982,1,0.5833333333333334
32,3898.4977,4.447900000000118,1,0.6271186440677966
33,3510.9845,87.45899999999983,1,0.4166666666666667
34,3438.8649,35.27469999999994,1,0.421875
35,3010.6536,20.147899999999936,1,0.4166666666666667
36,3872.3412,143.9458999999997,1,0.5689655172413793
37,3825.5873,-9.229899999999816,0,0.4666666666666667
38,3814.5282,-38.12519999999995,0,0.5076923076923077
39,4096.5821,14.948699999999462,1,0.5409836065573771
40,3686.1551,12.044300000000021,1,0.5
41,4163.9637,54.247299999999996,1,0.6271186440677966
42,4587.3953,-4.403999999999542,0,0.5757575757575758
43,5211.2885,97.57799999999952,1,0.55
44,5048.3607,-46.36839999999938,0,0.5344827586206896
45,5224.041,33.4965000000002,1,0.5666666666666667
46,4866.3826,32.454499999999825,1,0.46875
47,4940.3733,18.86239999999998,1,0.5245901639344263
48,4222.5968,-31.5020999999997,0,0.43103448275862066
49,4485.0108,63.65380000000005,1,0.559322033898305
50,3804.8853,-22.258100000000013,0,0.36923076923076925
51,3871.6338,14.933100000000195,1,0.48333333333333334
